Route ,First round ,second round ,third Round,forth Round,fifth Round 
Al-Waha circle ,7:00 AM,9:00 AM,11:05 AM,From University to line of dropoff ,From University to line of dropoff 
Haramain intersection,7:05 AM,9:05 AM,11:10 AM,From University to line of dropoff ,From University to line of dropoff 
7th circle (C-Town),7:10 AM,9:10 AM,11:15 AM,From University to line of dropoff ,From University to line of dropoff 
8th circle ,7:15 AM,9:15 AM,11:20 AM,From University to line of dropoff ,From University to line of dropoff 
Mecca Street ,7:18 AM,9:18 AM,11:23 AM,From University to line of dropoff ,From University to line of dropoff 
Khalda Circle ,7:20 AM,9:20 AM,11:25 AM,From University to line of dropoff ,From University to line of dropoff 
Sweileh ,7:25 AM,9:25 AM,11:30 AM,From University to line of dropoff ,From University to line of dropoff 
Tareq Mall ,6:45 AM,8:45 AM,11:10 AM,From University to line of dropoff ,From University to line of dropoff 
Al-Mashaghel Circle ,6:48 AM,8:48 AM,11:13 AM,From University to line of dropoff ,From University to line of dropoff 
Amman Bus Rapid Station ,6:52 AM,8:52 AM,11:17 AM,From University to line of dropoff ,From University to line of dropoff 
Nayfeh's traffic lights ,6:55 AM,8:55 AM,11:20 AM,From University to line of dropoff ,From University to line of dropoff 
Al-Istiqlal station ,7:00 AM,9:00 AM,11:25 AM,From University to line of dropoff ,From University to line of dropoff 
Al-Istiqlal Mall ,7:05 AM,9:05 AM,11:28 AM,From University to line of dropoff ,From University to line of dropoff 
Dakhliyeh Circle ,7:10 AM,9:10 AM,11:33 AM,From University to line of dropoff ,From University to line of dropoff 
Mukhtar Mall ,7:15 AM,9:15 AM,11:37 AM,From University to line of dropoff ,From University to line of dropoff 
Al-Shawabka Circle ,6:50 AM,8:50 AM,From University to line of dropoff ,From University to line of dropoff ,
Al-Dalleh Circle,6:55 AM,8:55 AM,From University to line of dropoff ,From University to line of dropoff ,
Al-Jundi Circle ,6:57 AM,8:57 AM,From University to line of dropoff ,From University to line of dropoff ,
Al-Quds College,7:00 AM,9:00 AM,From University to line of dropoff ,From University to line of dropoff ,
